model,topic,rank,word
nmf,1,1,game
nmf,1,2,play
nmf,1,3,england
nmf,1,4,win
nmf,1,5,player
nmf,1,6,match
nmf,1,7,team
nmf,1,8,said
nmf,1,9,cup
nmf,1,10,wale
nmf,1,11,final
nmf,1,12,ireland
nmf,2,1,labour
nmf,2,2,elect
nmf,2,3,blair
nmf,2,4,parti
nmf,2,5,tori
nmf,2,6,brown
nmf,2,7,said
nmf,2,8,tax
nmf,2,9,govern
nmf,2,10,minist
nmf,2,11,howard
nmf,2,12,chancellor
nmf,3,1,mobil
nmf,3,2,phone
nmf,3,3,use
nmf,3,4,technolog
nmf,3,5,peopl
nmf,3,6,music
nmf,3,7,servic
nmf,3,8,user
nmf,3,9,digit
nmf,3,10,said
nmf,3,11,comput
nmf,3,12,broadband
nmf,4,1,film
nmf,4,2,award
nmf,4,3,best
nmf,4,4,star
nmf,4,5,oscar
nmf,4,6,nomin
nmf,4,7,actor
nmf,4,8,festiv
nmf,4,9,actress
nmf,4,10,director
nmf,4,11,won
nmf,4,12,music
nmf,5,1,growth
nmf,5,2,economi
nmf,5,3,said
nmf,5,4,bank
nmf,5,5,rate
nmf,5,6,year
nmf,5,7,price
nmf,5,8,market
nmf,5,9,sale
nmf,5,10,econom
nmf,5,11,compani
nmf,5,12,rise
