dialogue,reference,base_summary,fine_tuned_summary
"Olafur: are we doing anything for New Year's Eve?
Nathalie: I was thinking about something classy, like opera or sth like that
Zoe: how much does it cost?
Olafur: opera is not for me
Nathalie: so what do you propose?
Nathalie: it's 100$ 
Olafur: I was thinking about partying somewhere
Nathalie: partying sounds fun, as long as it will be classy
Zoe: <file_link>
Zoe: Breakfast at Tiffany's party sounds classy
Olafur: <file_link> 
Olafur: is it classy enough?
Nathalie: :O
Nathalie: this club is AMAZING
Zoe: whoa
Nathalie: we'll going to Soho then
Olafur: we just need to hurry up and buy some tickets soon
Zoe: sure","Nathalie, Olafur and Zoe are planning the New Year's Eve. Nathalie wants something classy. Olafur doesn't like opera. They want to go to the Breakfast at Tiffany's party in Soho.","Olafur, Nathalie and Zoe are planning a party for New Year's Eve. Nathalie and Zoe will go to Soho for breakfast at Tiffany's party. Olafur and Zoe need to hurry up and buy some tickets.",Olafur and Nathalie are planning a party for New Year's Eve. They will go to Soho and buy some tickets soon.
"Javier: Hey do you know any tattoo parlors over here with English speaking employees?
Judie: Oh there's Warsaw ink
Javier: the name sounds neat... have you had a tattoo done there?
Judie: nope but my gf has
Javier: got a pic?
Judie: <file_photo>
Javier: wow that looks amazing
Javier: how much did she pay?
Judie: it was a 1000
Javier: fuck
Javier: let me just get a tatttoo back in colombia then, thx",Javier was initially eager to have a tatoo done at Warsaw Ink but the price turned out to be too high. Javier decided to have a tatoo done in Colombia.,Javier and Judie have a tattoo done in Warsaw. Judie had a tattoo done there. Javier will get a tatttoo back in colombia.,Javier and Judie have a tattoo done in Warsaw. Judie had a tattoo done there. Javier will get a tatttoo back in colombia.
"Martha: Hey, can I ask you a question?
Ophelia: Do we know each other?
Martha: We don't, but do you mind if I ask you about the lenses from your profile picture? they are awesome and I would like to buy the similar ones
Ophelia: it's from Crazy Lenses. They have quite reasonable prices and very fast shipping.
Martha: Thanks!!! I'll check them :)
Ophelia: No problem :)",Martha likes Ophelia's lenses and wants to buy similar ones. Ophelia got them from Crazy Lenses.,Martha and Ophelia are looking for similar lenses from their profile picture. They are from Crazy Lenses. They have reasonable prices and very fast shipping.,Martha and Ophelia will buy similar lenses from Crazy Lenses.
"Miranda: Hi S, could we cancel tomorrow's meeting?
Stephanie: again? what happened?
Miranda: I have to work :(
Stephanie: you work 20 hours a day!
Miranda: that's what young doctors do
Stephanie: they kill themselves working
Miranda: no they come close to death but survive and it makes them immortal
Stephanie: as long as you have an explanation :D",Miranda can't make her meeting with Stephanie as she has to work. ,Miranda and Stephanie will cancel tomorrow's meeting. Stephanie has to work 20 hours a day.,Miranda and Stephanie will cancel tomorrow's meeting. They have to work 20 hours a day.
"Sam: Where are you?
Kate: downstairs
Sam: already?
Kate: sure, come down
Jeff: We're in the little room next to the reception
Kate: have you noticed the woman making a cake?
Sam: yes
Kate: did you see the cake?
Sam: I didn't pay attention, why?
Kate: there was a huge penis on it
Kate: made of marzipan or sth
Sam: hahah, really?
Kate: when I noticed it, I started laughing
Kate: so she laughed too
Sam: nice
Kate: I asked her what's she doing
Kate: Somebody ordered a cake with a huge penis with balls and chocolate hair
Sam: hahah, I must see it!
Kate: she is working in the small room under the stairs
Sam: right, there is a kitchen",Kate and Jeff are downstairs in a room next to the reception. Some lady is making a marzipan cake. ,Kate and Jeff are in the little room next to the reception. They are in a small room next to the reception. Kate ordered a cake with a penis with balls and chocolate hair. She is working in the small room under the stairs.,Kate and Jeff are in the little room next to the reception. They're in the small room next to the reception. Kate ordered a cake with a penis with balls and chocolate hair.
"Pete: What flavour yogurt did you want again? My brain is like a sieve today.
Jen: Pear but only if they've got it. Otherwise don't worry about it.
Pete: I'll have a look around. If they don't have pear can I get a different flavour?
Jen: I don't like any other flavour. If they don't have pear just don't get anything at all then.
Pete: OK.",Pete will get a pear yogurt for Jen if they have it.,"Jen and Pete want a different flavour of yogurt. Jen doesn't like pear, but if they don't have pear, they don't get anything at all. Jen doesn't like any other flavour, but if they don't have pear, they don't get anything at all.","Jen doesn't like any other flavour, so Pete will have a look around. Jen doesn't like any other flavour, so if they don't have pear, they don't get anything at all."
"Bradley: haha look a cat invaded the pitch at Goodison <file_other>
Jill: hahahaha
Julia: what a sweet little black ball of fur
Jill: here's the video :D <file_other>
Julia: haha
Bradley: and the commentary :D
Bradley: that's the best entertainment Everton fans have had all season :D",A sweet little black cat got into the pitch during the Everton's football match.,A cat invaded the pitch at Goodison.,A cat invaded the pitch at Goodison.
"Barry: I'm gonna go march in Women's strike, anyone interested?
Jake: I am, already made plans with some friends, wanna join?
Dave: I am down too, Kelly is coming with me
Barry: Let's just meet around the campus at noon","Barry, Dave, Kelly, and Jake will meet around the campus at 12 to join Women's strike.","Barry, Jake and Kelly are going to march in Women's strike. Dave, Dave and Kelly will meet around the campus at noon.","Barry, Jake and Kelly are going to march in Women's strike. Dave, Dave and Kelly will meet around the campus at noon."
"Harris: How are U?
Lena: Fine, U?
Harris: Been better.
Lena: ?
Harris: My friend Aoki died yesterday.
Lena: O No!
Harris: Yeah.
Lena: What happened?
Harris: Not sure yet. Thinking the worst...
Lena: O how awful!
Harris: Yes.
Lena: You just never know.
Harris: True.
Lena: Had you seen her lately?
Harris: Not for a few months. She lives in Michigan.
Lena: Oh, that's far.
Harris: Not too far but far enough.
Lena: Right.
Harris: Got to go, mom's calling.
Lena: K bi. Feel better!
Harris: K will do","Harris' friend, Aoki, who lives in Michigan, died yesterday. Harris hasn't seen her for a few months.",Lena's friend Aoki died yesterday.,Harris' friend Aoki died yesterday.
"Sam: Are you working tomorrow?
Carla: No, it's my day off
Sam: I'm free in the afternoon, do you fancy meeting up?
Carla: Yeah, sure
Sam: Ok, great! Shall we go to Meanwood?
Carla: Ok, there's that cafe there that does the yummy cakes. Meet you at 2?
Sam: Yes - looking forward to it!
Carla: See you tom! xx",Carla has a day off tomorrow. She will meet Sam in Meanwood in a cafe at 2 pm.,Carla is working tomorrow. Sam is free in the afternoon. Sam and Carla will go to Meanwood cafe. Sam and Carla will meet at 2.,Carla is working tomorrow. Sam is free in the afternoon. Sam and Carla will go to Meanwood cafe.
