id,reference,distilbart_summary,textrank_summary
58aefdc7ca85968aa11e16ea4099506cb474f759,Justin Rose bounced back from Florida misery by carding 69 in Houston . Three-time Masters champion Phil Mickelson enjoyed return to form . Paul Casey celebrated last-gasp Masters invitation with fine round of 68 ., Justin Rose hit 17 out of 18 greens in regulation and signed for a 69 at the Shell Houston Open . The Englishman fell outside the world's top 10 last month after a poor run in Florida . Phil Mickelson enjoyed his best round in months with a 66 on Thursday .,"‘Over the past two weeks I feel like I’ve done some good work and whether I finish well or not here I feel like I’m going in the right direction again. So we’ve corrected the faults and I’ve gone back to the old putter.’ Phil Mickelson enjoyed his best round in months with a 66 on Thursday . The only thing missing was chipping and short game.' Paul Casey, like Mickelson another former winner of this event, celebrated his last-gasp Masters invitation with a fine round of 68 notable for two eagle threes."
8c2e48d24a3e2cf1be5d242f09ae34bf68ccbd6e,Lewis Ferguson fell from Merrion Square at Wincanton on Wednesday . Despite spectacular tumble he escaped with just a cut nose . Ferguson has been mucking out stables as usual on Thursday morning . The 18-year-old says incident that went viral was 'just a blur' to him .," Lewis Ferguson, 18, was mucking out the stables as usual, just a cut on the nose to show for the fall . His double somersault horror fall from the favourite Merrion Square in the 4.20pm at Wincanton on Wednesday has been watched hundreds of thousands of times online . Ferguson escaped the fall and the only real","Ferguson, whose double somersault horror fall from the favourite Merrion Square in the 4.20pm at Wincanton on Wednesday has been watched hundreds of thousands of times online. Jockey Lewis Ferguson, 18, who survived a spectacular fall from Merrion Square shows off the cut on his nose . Ferguson, whose double somersault horror fall has been watched by hundreds of thousands online ."
16269bfc102681f55a7fbfb6e26c7a52d982e09c,"Woman reported 'someone' had been run over, but victim was a squirrel . Another man dialled 999 to say he dropped a burger which was 'bleeding' East of England ambulance service warned hoax calls can cost lives ."," Two ambulances were sent to Epping Forest after a call saying 'someone' had been run down . But the 'victim' was actually a squirrel that had been hit by a car in Essex . East on England ambulance service released a list of 1,248 inappropriate call outs .","Two ambulances were sent to Epping Forest after a caller told crews 'someone' had been run down, only for the 'victim' to turn out to be a squirrel. East on England ambulance revealed the bizarre calls as part of a list of 1,248 inappropriate call outs, saying that crew attended half of them, potentially putting lives at risk (file image) He said: 'We're an emergency service and our front-line staff are trained to save lives. 'However, that response can be affected if our call handlers and front-line staff are dealing with inappropriate 999 calls."
18514a002a1a244a68a560c63c4471af98f72a73,"Guo Kai and girlfriend Dong Hui, 22, had planned to get married this month . But ceremony had to be postponed after Dong was admitted to hospital . Instead Guo arranged for photographers to go to the ward on her birthday . Family and friends helped Dong get into her dream wedding dress ."," Guo Kai and girlfriend Dong Hui, 22, had been planning to get married this month . But Dong was suddenly diagnosed with serious bone cancer and admitted to hospital . She had to stay lying down the whole time due to her condition, which causes severe pain and can lead to joint dysfunction . Guo arranged for professional photographers to","Guo Kai and girlfriend Dong Hui, who turned 22 on Monday, had been planning to get married this month in Sichuan in southwest China. Big day: Dong Hui, 22, was diagnosed with bone cancer last month but still wanted to have wedding photographs taken for her birthday . Instead, family and friends helped Dong put on a beautiful wedding dress so that a team of professional photographers could take pictures for the besotted couple."
9efbe27504b041e7f5e846a3c6898702c0e82427,"David Wheeler: Corinthian, considered a ""predator"" school, will shut down campuses . Wheeler: Students of for-profit colleges are hapless victims; their debts should be forgiven .","John Sutter: Corinthian Colleges Inc. will shut down all of its remaining 28 campuses . Sutter says Corinthian is one of the worst of the ""predator colleges"" He says for-profit colleges offer dubious degrees, saddle students with high amounts of debt and gobble up billions of dollars in federal money every year","Corinthian, which once enrolled more than 70,000 students, is one of the worst of the ""predator colleges"" -- schools that offer dubious degrees, saddle students with high amounts of debt and gobble up tens of billions of dollars in federal money every year. For those not familiar with the for-profit college fiasco, here's the whole story in one telling statistic: While for-profit colleges enroll only 13% of the nation's college students, such colleges account for nearly half of all student loan defaults, according to Department of Education statistics. But according to a jaw-dropping report by the Education Department, the average graduate of an online for-profit college makes less than a high school dropout."
56941fcf624a88a5f670a1de1c0688467158b2c5,"Dzhokhar Tsarnaev was found guilty of all 30 counts, may face death penalty . The sentencing phase starts April 21; a judge predicts it will last four weeks . He warns jurors not to do anything that could be prejudicial to the case ."," Judge George A. O'Toole: ""Please put the case out of your minds. Enjoy the warm weather"" Tsarnaev's lawyers never disputed that their client was at the scene of the bombings and part of the mayhem that followed .","Boston (CNN)The Boston Marathon is traditionally an event in which people in and around the Massachusetts capital come together, celebrate and enjoy. And not this year -- at least not if you're a member of the jury that convicted Dzhokhar Tsarnaev in the bombings. Tsarnaev's lawyers never disputed that their client was at the scene of the bombings and part of the days-long mayhem that followed."
f2585a9406b45744f8c8bd6fec5c5803113d92d7,Sources claimed he'd go if Lib Dems are reduced to fewer than 30 MPs . But yesterday insisted he would fight for his job 'in all circumstances' Warned of 'very real risk we undo all the hard work over last five years' Vince Cable hopes to be Chancellor if Lib Dems form another coalition ., Deputy Prime Minister has previously indicated he will quit as leader if Lib Dems are reduced to fewer than 30 MPs . Sources have also suggested he will go if party is left out of power after the election . But yesterday he insisted he would fight for his job 'in all circumstances',"Vowing to cling on: Liberal Democrats leader Nick Clegg makes a speech during a General Election campaign visit to Sutton in south London yesterday . Nick Clegg yesterday vowed to cling on as Liberal Democrat leader even if the party is wiped out at the polls. ‘All I am focused on at the moment is sounding the alarm about the very, very real risk that as the Labour Party and Conservative Party vacate the centre ground and hare off in which direction after another, there is a very real risk we undo all the sacrifices and hard work that have gone in over the last five years to put the country back on track economically.’ Meet and greet: Mr Clegg (far right) speaks to voters and their families during a General Election campaign visit to Sutton with Paul Burstow (second right) the party's candidate for Sutton and Cheam ."
70bb5fa813aa597c9dc7a195da539d5fb0a7031d,"Paul Gregory said he could only walk 200 metres in blue badge application . However, council staff noticed 51-year-old in newspaper report after hike . Article described Gregory as an 'experienced walker' on a three-day trek . Gregory fined £795 after admitting to dishonestly obtaining a blue badge ."," Paul Gregory, 51, of Bedford, claimed exercise left him breathless despite being a keen walker . He was exposed when Bedford Borough Council staff read an article in The Westmorland Gazette . It said he had been attacked by cows in Cumbria on the third day of a hike in 2012 . Gregory was fined £795 and ordered to","Paul Gregory, 51, of Bedford, has been fined £795 for having a blue badge, claiming he could only walk 200 metres, when in fact he was a keen walker . Gregory, of Bedford, pleaded guilty to two counts of dishonestly obtaining a blue badge by misrepresenting his physical abilities at Luton Magistrates' Court. 'Mr Gregory's abuse of the scheme is completely unacceptable and we will continue to investigate all reports of blue badge fraud thoroughly.' Gregory was fined £795 and ordered to carry out 150 hours of unpaid work when he admitted dishonestly obtaining a blue badge by misrepresenting his physical abilities at Luton Magistrates' Court (pictured)"
d1c6d891ee60600141277f676266808edf434dc2,"The patent was filed in March 2011 and awarded to Apple earlier this week . It details a method of scanning a user's face using the front-facing camera . If the scanned face matches with a photo that was previously taken and stored, the phone unlocks automatically . Android Lollipop already has a similar feature called 'Trusted face'"," The patent (illustrated) was filed by the California-based firm in March 2011 and awarded earlier this week . It details a method of scanning a user's face using the front-facing camera each time the phone is moved into a certain position . If the scanned face matches a previously taken photo, the phone unlocks automatically","Apple's patent details a method for automatically unlocking a mobile device using a system comprising of 'capturing an initial image  while the device is locked, monitoring a motion state of the mobile device to determine whether the device is moving or is motionless;  analysing the images to detect a user's face and unlocking the device.' Android Lollipop users already have an almost identical feature known as Trusted face in the Smart Lock menu. Once the screen is enabled and the camera is held in front of the face, the screen automatically unlocks. Apple, instead, provides a method for automatically unlocking a mobile device using a system comprising of 'capturing an initial image  while the device is locked, monitoring a motion state of the mobile device to determine whether the device is moving or is motionless;  analysing the images to detect a user's face and unlocking the device.' Android Lollipop users already have an almost identical feature known as 'Trusted face' in the Smart Lock menu."
b1f23bd961484edaa46eafe48b1fcc3f4bf02a4e,"Robert Hardy, 89, is a military enthusiast who studied English literature under J.R.R. Tolkien . He is selling off a huge collection of books, artwork and furniture . Among the objects which have gone up for auction are a huge 3D diorama of the Battle of Agincourt ."," Actor Robert Hardy, 89, is auctioning off more than 200 items he has collected over his career . Mr Hardy is a keen military historian who studied English with J.R. R Tolkien and is now an expert on the medieval longbow . He is also selling paintings, furniture, swords, flintlock rifles, silverware and a fine","Sale: Actor Robert Hardy is selling off his collection of antiques including a diorama of the Battle of Agincourt . Portrait: A painting of Mr Hardy holding a longbow, reflecting his interest in medieval history . Rendall in the 1960s after being commissioned by Mr Hardy himself, and has an estimate of £4,000 to £6,000."
58f68866990a7627e63332fae2e30bec004c1312,Bus carrying 40 players and staff back from away game was attacked . Fenerbahce want Turkish championship halted while matter is resolved . The bus driver was wounded in the attack and taken to hospital .,Bus came under armed attack as it drove to the airport following an away match at Caykur Rizespor in Turkey's Super Lig . Bus driver was wounded and taken to hospital and there was no mention of any injuries to anyone else . Fenerbahce have called for the suspension of the Turkish championship following the,Fenerbahce have called for the suspension of the Turkish championship following the gun attack on their team bus on Saturday. Fener said on their official website the bus driver was wounded in the attack and taken to hospital and there was no mention of any injuries to anyone else. It's unbelievable.' The club posted several pictures of the bus on their website after the attack which showed a shattered side window and damage to the front windscreen.
237dd7327fac6d74e5c9979d1475558106e5d346,"Narrow two-bedroom home in Islington, north London has sold for £750,000 despite measuring 5ft wide in places . The estate agency describes the property as 'well proportioned' and includes a reception room, shower and kitchen . It was put on the market for £750,000, almost double what it sold for in 2001 when it was previously put up for sale ."," The tiny home is sandwiched between two double fronted properties on a leafy street in Islington, north London . It is only 5ft wide in some areas, a little over the size of a rugby player’s shoulders and its maximum width is 8ft 8in . At its widest, it stretches across 8","The tiny home (circled), sandwiched between two other properties, which has sold for £750,000, is located on a leafy street in Islington, north London . The home has what boat owners would call a narrow 'galley kitchen', an expert has said, with the estate agency calling it 'well proportioned' The property is a two-bedroom apartment, with a narrow but long and extended back section . The property was put on the market with Foxtons for £750,000 - almost double the price it sold for in 2001."
d3faeb824b69a96775c8ab4613d1dcbbe96f5d2c,"Natalie Fuller, 28, stepped in front of a train in Baltimore last month . Mother Doris shared an account of her life this week in heartfelt article . Told how she was diagnosed with psychosis and bipolar disorder aged 22 . Pair wrote bestselling book, Promise You Won’t Freak Out, in 2004 . Featured nationally on network news and was featured on Oprah ."," Doris Fuller's daughter Natalie, 28, suffered from bipolar disorder and psychosis . She died last month when she stepped in front of a train in Baltimore, Maryland, last month . In wake of her death, Fuller has revealed how her condition worsened over years . She said she was 'the bravest person I have ever known","Opening up: Doris Fuller's daughter Natalie, left with her mom, killed herself last month - and now Fuller has opened up about how Natalie's bipolar disorder and psychosis led to her death . In a mental health documentary video filmed in 2014, Natalie described the worst lows of her condition, in which she said terrifyingly real voices would tell her to hurt herself. I thought they were real.' Although Natalie, a keen artist who sculpted, painted and wrote poetry, often seemed fine while on medication, Fuller told how her future seemed a little bleaker every time she relapsed."
9bab5c10d10c8875d183b717f80adb6067db169d,"PSG host Barcelona in the first leg of their Champions League quarter-final . Paris Saint-Germain are without the suspended Zlatan Ibrahimovic . In his absence, Edinson Cavani must raise his game as the main attacker . The Uruguayan is being courted by Louis van Gaal at Manchester United . Cavani will come up against Luis Suarez who was born in the same town .","Paris Saint-Germain face Barcelona in the Champions League quarter-final . Luis Suarez will be at the Parc des Princes for the first time in his career . PSG have been stripped of two key players, Zlatan Ibrahimovic and Marco Veratti, while Thiago Motta is injured . Cavani","Edinson Cavani prepares for Paris Saint-Germain's quarter-final clash with Barcelona . Cavani celebrates scoring for the Paris side in the League Cup final last weekend . Cavani will come up against Luis Suarez, who was born in the same town, in the first leg in Paris ."
ad67d14b82f587b4e5fefe665fe6b6cb89e14c88,"'It's like my home away from home and I just love it here,' Judy Eddingfield said of Winstead's in Kansas City . Judy Eddingfield celebrated her 50th anniversary working at Winstead's restaurant last week where she began working when she was 15 in 1965 . Eddinfield's mother along with her siblings all worked at the restaurant ."," Judy Eddingfield, 65, celebrated her 50th anniversary working at Winstead's in Kansas City last week and declares that it's the only job's she's ever had or ever wanted . 'It's like my home away from home and I just love it here","Dedicated waitress Judy Eddingfield, 65, celebrated her 50th anniversary working at Winstead's restaurant in Kansas City last week and declares that it's the only job's she's ever had or ever wanted. Classic establishment:  This is a photo of the The Winstead family who own the restaurant showing up for work in 1940 around the time when Judy Eddingfield's mother started working there . Celebration: Dedicated waitress Judy Eddingfield celebrated her 50th anniversary working at Winstead's restaurant in Kansas City last week and declares that it's the only job's she's ever had or ever wanted ."
3cdc717d765862e42b3a1912c60f97c7cd084388,"Microsoft Corporate VP of Worldwide Operations, Mary Ellen Smith, who has a teenage son Shawn with autism, made the announcement . Program will be run in partnership with Specialisterne, a Danish nonprofit that helps train people with autism for careers in IT . Full-time positions based at its Redmond campus, Washington .", The positions will be based at Microsoft's Redmond campus in Washington . The program will be run in partnership with a Danish nonprofit that helps train people with autism for careers in IT . Microsoft CEO Satya Nadella was forced to apologize for saying women don't need to ask for a raise .,"The announcement was made on the company's blog by Microsoft Corporate VP of Worldwide Operations, Mary Ellen Smith, who has a teenage son, Shawn, with autism. She added: 'I am also proud of how our society and our workplace is moving forward with the commitment to help support people with autism and disabilities in general.' Last year Microsoft CEO Satya Nadella was forced to apologize for saying that women don't need to ask for a raise and should just trust the system to pay them well. Last year Microsoft CEO Satya Nadella (pictured) was forced to apologize for saying that women don't need to ask for a raise and should just trust the system to pay them well ."
f6172a1e869f9a709401cad64d7c10dd435f7328,"The Queen's granddaughter is vying for a spot on Team GB in 2016 . She gave birth to her daughter, Mia Grace, in January last year . To regain her fitness Zara, 33, uses an exercise bike every morning . She sticks to a healthy diet and also goes swimming and cycling .", The 33-year-old is vying for a place on Team GB at the Rio Olympics in 2016 . The Queen's granddaughter welcomed Mia Grace with husband Mike Tindall last year . She has committed to a strict exercise and diet regime to get back in shape . Zara helped take home team silver at the 2012 London Olympics .,"The 33-year-old, who is vying for a place on Team GB at the Rio Olympics, welcomed Mia Grace with husband Mike Tindall last year. Zara Phillips has told of how she was surprised at how difficult it was to regain her fitness after the birth of her daughter, Mia, one (pictured left in January and right, last July when Mia was six months old) 'What surprised me about having a baby is losing all your fitness and how tough it is to get it back to that level again,' she said in an interview with The Sunday Time Magazine. Zara (pictured competing in the 2012 London Games) said she is keen to win a place on Team GB in 2016 ."
2c664436d54833bd48e72b30f89b290669afd467,"Iceland has become an increasingly popular filming location recently . Christopher Nolan's Interstellar was shot atop the Svinafellsjokull glacier . Europe’s most powerful waterfall, Dettifoss, was featured in Prometheus . Game of Thrones producers opted to film at Thingvellir National Park . Warning: Story contains spoilers for series four of Game of Thrones ."," Iceland has become an increasingly popular filming location for films such as Game of Thrones, Interstellar and Prometheus . The country's stunning waterfalls and breathtaking glaciers have been featured in many films and TV series .","Scenes from Christopher Nolan’s epic Interstellar were filmed atop the blue ice glacier Svinafellsjokull in the Skaftafell National Park, which is also located near another favoured filming location: Iceland’s largest glacier, Vatnajokull. The Svinafellsjokull glacier provided a stunning setting for Christopher Nolan's epic film, Interstellar . And finally, Game of Thrones enthusiasts will undoubtedly recognise the north of Iceland, namely Thingvellir National Park, from Arya’s storyline and as the setting of the battle of the Hound and Brienne, in the North of Westeros."
593fd96abf9a4a7020c5a36982e0e0aa960243d5,Faith and Hope Howie were born with one body and two faces on May 8 . They tragically died in hospital just 19 days after they were born . Parents Simon Howie and Renee Young visit their grave at Pinegrove in western Sydney fortnightly . They arrived on Thursday to find the grave bare of all the girls' mementos . Staff had cleared entire baby section and thrown belongings in rubbish .," Faith and Hope Howie were born on May 8 last year with one body and two faces due to an extremely rare condition known as disrosopus . They died in hospital less than a month after they were born and their parents, Simon Howie and Renee Young, laid them to rest at Pinegrove Memorial Park in Sydney","Family members have visited the grave every week to leave mementos and flowers for Faith and Hope, but when parents Simon Howie and Renee Young arrived on Thursday they found the site completely bare . 'We will discuss and seek an agreeable solution with families in the weeks ahead.' Faith and Hope's parents have set up an online petition to have the rules and regulations at cemetery's changed to ensure memorial items are not removed without being notified. Their family and friends had built up a small memorial with pink and white statues, flowers, pebbles and toys in the 11 months since Faith and Hope died ."
6842c5c0891514dccc3dc329ec74f8f9786234aa,"Southampton target Tonny Vilhena wants out of Feyenoord this summer . Ronald Koeman had tried to sign the 20-year-old in January, but was rebuffed . Vilhena has one year left on his contract, but wants to move away . Koeman is also keen on signing his team-mate Jordy Claise .",Tonny Vilhena has one year left on contract at Feyenoord but is ready to make the move to the Premier League . Ronald Koeman made enquiries for the 20-year-old in January and is keen to bring him to St Mary's . Koeman is also looking to make Eljero Elia's,"Feyenoord winger Tonny Vilhena (left) is keen to quit the club this summer with Southampton on red alert . The Saints are also monitoring his team-mate, the £10m-rated midfielder Jordy Clasie (right) Southampton boss Ronald Koeman is keen to bolster his squad ahead of possible European qualification . Koeman is keen to make Dutch winger Eljero Elia's loan move from Werder Bremen permanent this summer ."
e4bae5ea6c016f5d2c608a2f9c7bf202f853c660,Belinda Bartholomew claims she was racially abused at a Bondi butcher . The girlfriend of Sydney Roosters star Aidan Guerra went to buy a chicken for a Game of Thrones inspired dinner . She says she was sworn at and told to 'go to a f***ing Aussie butcher' when she tried to change her chicken selection . The butcher vehemently denies he was rude to or swore at her and says the woman is a 'troublemaker' out to ruin the business ., Belinda Bartholomew claims she was racially abused at a Bondi butcher on Monday night . She was buying a chicken for her and her Roosters star boyfriend Aidan Guerra to have for dinner . She claims the butcher called her a 'f***ing c***' when she asked for a different chicken to the one he,"Ms Bartholomew claims the man working at Sam The Butcher in Bondi swore at her and told her to leave, but the man working at the time said his customer was the one being rude . 'I was very slow and she started having a go at me.' Ms Bartholomew (pictured with Mr Guerra) said the butcher told her to 'go to a f***ing Aussie butcher' But the man working vehemently denied any claims he swore at or abused the young woman (pictured) He told Daily Mail Australia that he's trying to fit into Australian life but sometimes finds it hard to cope with attitudes in Bondi. Ms Bartholomew claims the butcher then asked her 'Why don't you just go to a f***ing Aussie butcher'."
1f42cfb9302d4528339099a361998a892f3cac5e,The scale of influence Unite holds is chilling given what it seeks to impose . It remains addicted to the failed socialist policies of Britain's past . Mr McClusky denies holding too much power over Labour's Ed Miliband .," Len McCluskey's union Unite is a potent, sinister force in British politics . The trade union firebrand's manner was as warm as the weather in South Wales . But all the smiles cannot hide the reality that he and his union are a potent force .","McCluskey has denied that he has too much influence over Ed Miliband, adding that Unite is supporting the party '100 per cent' McCluskey's determination to influence Labour was all too evident in Wales. Moreover, if Labour and Unite really think that McCluskey is an asset in the election, they are doing their best to keep quiet about it. It was Unite and the other affiliated unions that ensured Ed Miliband (pictured left) was elected leader in 2010 against his more moderate brother David (right) The dominance of Unite runs right through Labour's organisation, with huge implications for the make-up of a putative Miliband government."
c6cb99e45527e9af7e1e5708e4104fd806499b04,Reports claim Google is latest firm to test alternative battery options . Sources said the four-man team  devise and test different technologies . It follows Apple's recruitment drive  for battery and software experts ., The four-man team spends its days devising and testing different technologies from the flexible to the wearable . Google has been working on similar projects since 2012 when former Apple battery expert Dr Ramesh Bhardwaj began leading a testing team . The reports were made by Alistair Barr in the Wall Street Journal .,"Google has been working on similar projects since 2012 when former Apple battery expert Dr Ramesh Bhardwaj began leading a testing team. Google has been working on similar projects since 2012 when former Apple battery expert Dr Ramesh Bhardwaj began leading a testing team. In particular, the iOS software power systems engineer role said the successful candidate 'will be working on design and development of software for triage of battery life issues, modeling of power consumed by different parts of the system, and analytics to understand large scale battery life trends.' Atmel also recently announced its latest microcontrollers (MCUs) that can be fitted to a variety of gadgets and are so low power they can harvest energy from a person's body."
b48379b27f505e9c61b979c3d158d9d4961b54d4,"Andrea McVeigh, 44, was knocked over from behind by speeding cyclist . Left in a pool of her blood after crashing face-first into the pavement . She will be scarred for life after suffering two long gashes to forehead . Police launch hunt for the mystery rider who did not stop at scene ."," Andrea McVeigh, 44, was hit face-first by the cyclist in Bermondsey, south London . The social media manager suffered two three-inch gashes to the middle of her forehead . The cyclist fled the scene, chased by the 44-year-old's husband . Met Police have issued CCTV footage of a","Andrea McVeigh, 44, has been left scarred for life after being knocked down by cyclist . A woman has been left scarred for life after being knocked down by a cyclist who was riding on the pavement. 'I got hit by a speeding cyclist on the pavement,' said Mrs McVeigh."
08acfbcdae3113edea44d6a316c6a634aa2c215c,"Death Row Records mogul appealed to reduce $10m bail, was denied . But he is sure Floyd Mayweather will win on Saturday and bail him out . The boxer is already worth $420 million, set to get record pay this weekend . Knight had to be wheeled out of court after being denied bail cut .", The rap mogul was refused an appeal to have his bail reduced from $10 million to $5 million as he awaits trial for murder and attempted murder . The 48-year-old has been plagued by medical ailments since being charged with murder in January . Knight's attorney Matthew Fletcher said he believes Floyd Mayweather will bail him out when,"Laughing before murder trial: Suge Knight and his lawyer Matthew Fletcher were jovial in court on Thursday . Appearing distressed, Knight then had to be wheeled out of court in a wheelchair after the hearing . Appearing distressed, Knight then had to be wheeled out of court in a wheelchair."
7886861d15ab9bb2d180b4dc36d63225019f51d8,"Oscar Hernandez Jr has pleaded guilty to transporting firearms, obstruction of justice, lying to a federal grand jury and witness tampering . Confessed to shipping Aaron Hernandez three weapons a month before Odin Lloyd's killing June 2013 . Hernandez Jr said he was blinded by New England Patriot's fame and 'grateful to be noticed' Aaron Hernandez has been convicted of first-degree murder and sentenced to life in prison without parole ."," Oscar Hernandez Jr - no relation to the disgraced NFL player - has pleaded guilty to weapons charges in connection to his namesake’s murder case . The 24-year-old Florida man said he was 'grateful to be noticed' when the football player paid him $15,000 for three guns in April 2013 . Aaron Hernandez, 25","Bad bro-mance: Oscar Hernandez Jr (left), 24, said he was 'awed' by New England Patriots star Aaron Hernandez (right) and 'grateful to be noticed' when the football player paid him $15,000 for three guns . Unfortunate timing: Oscar Hernandez  shipped his namesake a rifle and two handguns in April 2013 - a month before the NFL player shot dead Odin Lloyd (pictured on screen in court) Hernandez had been a rising star in the NFL with a $41million contract when he was arrested in June of that year. A friend of Oscar Hernandez testified during the NFL star’s trial that the gun trafficker purchased the weapons April 16, 2013, five days after Aaron transferred $15,000 into his account."
4ef7c5f63fad8375c6e357124b2c8999dd6f388b,"The Henry Ford Museum in Dearborn, Michigan, has had chair for 85 years . The worn, red chair, from Washington D.C.'s Ford's Theatre, is usually kept in an enclosed case but will be put in an open plaza on April 15 . Abraham Lincoln was shot by John Wilkes Booth on April 14, 1865 . The Henry Ford Museum also holds the limo in which John F. Kennedy was shot and the bus Rosa Parks rode when she refused to give up her seat ."," The red, worn chair will be removed from its enclosure at the Henry Ford Museum in Dearborn, Michigan, on April 15 . It will be displayed in an open plaza at the museum for the 150th anniversary of the assassination . Lincoln's chair has been part of the museum started by pioneering automaker Henry Ford - no relation to","The chair in which Abraham Lincoln was shot has been on display at The Henry Ford Museum in Dearborn, Michigan, for 85 years. 'The courthouse is pretty much the first thing Henry Ford acquired related to Lincoln and the chair came soon after.' A playbill from Our American Cousin from the night President Abraham Lincoln was assassinated on April 14, 1865 is shown on display at the Henry Ford Museum in Dearborn . 'There's something about the tangibility of these things.' The chair in which Lincoln was show is regularly displayed in an encasing at The Henry Ford Museum."
70e68bea7eb878b2880b2f81c934ce9a686087d8,Tottenham's new £400m stadium due to be completed for 2018-19 season . NFL said to be within five years of having a franchise in London . Wembley Stadium currently hosts NFL International Series games . Three regular-season NFL games will be played in London this year . CLICK HERE for all the latest Tottenham Hotspur news .," Tottenham are considering a state-of-the-art stadium with a retractable pitch . The new £400m stadium is due to be completed for the start of the 2018-19 season . Tottenham's new 65,000 capacity stadium could be better suited to the NFL than the 90,000-seat Wembley .","Tottenham are considering a state-of-the-art stadium with a retractable pitch that enables them to become the home of a new NFL London franchise. Tottenham are considering sharing their new £400m stadium with an NFL franchise . Spurs' new 65,000 capacity stadium could be better suited to the NFL than the 90,000-seat Wembley ."
