model,topic,rank,word
lda,1,1,said
lda,1,2,govern
lda,1,3,say
lda,1,4,elect
lda,1,5,labour
lda,1,6,parti
lda,1,7,peopl
lda,1,8,minist
lda,1,9,blair
lda,1,10,plan
lda,1,11,tori
lda,1,12,new
lda,2,1,said
lda,2,2,use
lda,2,3,peopl
lda,2,4,game
lda,2,5,technolog
lda,2,6,mobil
lda,2,7,phone
lda,2,8,servic
lda,2,9,new
lda,2,10,like
lda,2,11,comput
lda,2,12,make
lda,3,1,said
lda,3,2,year
lda,3,3,compani
lda,3,4,market
lda,3,5,firm
lda,3,6,bank
lda,3,7,sale
lda,3,8,share
lda,3,9,price
lda,3,10,new
lda,3,11,month
lda,3,12,growth
lda,4,1,film
lda,4,2,year
lda,4,3,best
lda,4,4,award
lda,4,5,said
lda,4,6,star
lda,4,7,music
lda,4,8,includ
lda,4,9,won
lda,4,10,new
lda,4,11,record
lda,4,12,british
lda,5,1,game
lda,5,2,said
lda,5,3,play
lda,5,4,win
lda,5,5,year
lda,5,6,player
lda,5,7,time
lda,5,8,england
lda,5,9,club
lda,5,10,team
lda,5,11,match
lda,5,12,final
